Time(s),Position1,Current1,Position2,Current2
0.087,2051,0,2041,7,0
0.183,2059,0,2033,7,0
0.279,2071,0,2024,-1,0
0.375,2080,0,2013,-11,0
0.471,2090,-1,2003,-12,0
0.567,2100,-5,1993,-16,0
0.663,2110,-3,1984,-10,0
0.759,2120,0,1975,-7,0
0.855,2130,-2,1964,-11,0
0.951,2140,-1,1955,-7,0
1.047,2150,0,1945,-13,0
1.143,2159,-3,1935,-8,0
1.239,2169,-4,1925,-11,0
1.335,2179,-3,1914,-13,0
1.431,2190,-4,1906,-10,0
1.527,2199,-2,1895,-10,0
1.623,2209,-3,1884,-13,0
1.719,2219,-3,1875,-10,0
1.815,2230,-3,1864,-10,0
1.911,2239,-1,1854,-5,0
2.007,2249,-1,1845,-6,0
2.103,2258,-4,1836,-4,0
2.199,2268,-4,1826,-14,0
2.295,2279,-1,1816,-4,0
2.391,2288,-4,1806,-10,0
2.487,2298,-3,1795,-13,0
2.583,2309,-4,1786,-6,0
2.679,2319,-4,1775,-5,0
2.775,2328,-2,1765,-9,0
2.871,2338,-6,1755,1,0
2.967,2348,-2,1746,-12,0
3.063,2357,-3,1736,-5,0
3.159,2367,-4,1726,-13,0
3.255,2378,-4,1717,0,0
3.351,2387,-4,1706,-4,0
3.447,2397,-1,1696,-12,0
3.543,2407,-5,1686,-10,0
3.639,2418,-3,1676,0,0
3.735,2428,-3,1666,-12,0
3.831,2436,-6,1656,-4,0
3.927,2445,-4,1647,0,0
4.023,2456,-4,1637,-6,0
4.119,2466,-2,1627,-7,0
4.215,2477,-4,1617,-8,0
4.312,2486,-2,1607,-7,0
4.407,2496,-2,1597,-12,0
4.503,2506,-4,1587,-10,0
4.599,2515,-6,1577,-11,0
4.695,2525,-4,1567,-3,0
4.791,2536,-6,1557,-10,0
4.887,2546,-2,1548,0,0
4.983,2555,-2,1538,-5,0
5.079,2566,-1,1528,-4,0
5.175,2575,-4,1518,-2,0
5.271,2585,-6,1509,0,0
5.367,2596,-1,1498,-3,0
5.463,2605,-1,1488,-4,0
5.559,2615,-4,1478,-3,0
5.655,2625,-4,1468,-7,0
5.751,2635,-2,1459,0,0
5.847,2645,-1,1449,2,0
5.943,2654,-4,1439,1,0
6.039,2664,-3,1429,-5,0
6.135,2675,-2,1419,-13,0
6.231,2684,-4,1409,-9,0
6.327,2694,-1,1399,-5,0
6.423,2704,-3,1389,-11,0
6.519,2714,-1,1379,-8,0
6.615,2725,-2,1369,-2,0
6.711,2734,-2,1359,-6,0
6.807,2744,-2,1350,-10,0
6.903,2754,-3,1340,-6,0
6.999,2764,-2,1331,-2,0
7.095,2774,-1,1320,-2,0
7.191,2783,-5,1310,-2,0
7.287,2793,-3,1301,0,0
7.383,2803,-3,1290,-5,0
7.479,2813,-1,1280,-11,0
7.575,2823,-4,1270,-10,0
7.671,2833,-4,1260,-9,0
7.767,2842,0,1251,-8,0
7.863,2853,-2,1242,-7,0
7.959,2862,-5,1231,-9,0
8.055,2872,-2,1221,-4,0
8.151,2883,-3,1211,-10,0
8.247,2892,-4,1201,-9,0
8.343,2903,-3,1192,-8,0
8.439,2912,-4,1181,-11,0
8.535,2922,-3,1172,-11,0
8.631,2933,-4,1161,-10,0
8.727,2942,-1,1152,-7,0
8.823,2952,-3,1143,-11,0
8.919,2961,-5,1132,-11,0
9.015,2971,-2,1123,-13,0
9.111,2982,-2,1113,-8,0
9.207,2991,-4,1103,-11,0
9.303,3002,-3,1093,-6,0
9.399,3011,-5,1083,-7,0
9.495,3021,-4,1073,-8,0
9.591,3032,-4,1063,-9,0
