Time(s),Position1,Current1,Position2,Current2
0.087,2051,0,2041,7
0.183,2057,0,2033,-1
0.279,2068,0,2024,1
0.375,2078,0,2013,-2
0.471,2088,0,2004,-5
0.567,2098,0,1994,-10
0.663,2108,0,1984,-8
0.759,2118,0,1974,-7
0.855,2128,0,1964,-8
0.951,2138,0,1955,-9
1.047,2148,0,1945,-13
1.159,2160,-4,1935,-8
1.255,2167,-1,1925,-10
1.351,2177,-3,1915,-7
1.447,2187,0,1906,-8
1.543,2197,-1,1895,-5
1.639,2207,0,1885,-5
1.735,2217,-3,1875,-6
1.831,2227,-1,1864,-12
1.927,2237,0,1854,-5
2.023,2246,0,1845,-13
2.119,2256,-2,1836,-3
2.215,2265,0,1826,-8
2.311,2276,-1,1815,-2
2.407,2286,-1,1806,-2
2.503,2295,0,1795,-12
2.599,2306,-2,1786,-2
2.695,2316,-1,1775,-8
2.791,2326,-3,1765,-1
2.887,2336,0,1755,0
2.983,2346,0,1746,-4
3.079,2355,-1,1736,-1
3.175,2364,0,1726,-11
3.271,2374,0,1717,-3
3.367,2383,0,1707,-1
3.463,2395,-4,1696,-11
3.559,2405,0,1687,0
3.655,2414,0,1676,2
3.751,2425,-4,1666,-3
3.847,2435,-3,1656,-3
3.943,2443,0,1647,2
4.039,2454,-3,1637,-9
4.135,2464,-2,1627,-2
4.231,2474,-1,1618,-1
4.327,2484,-2,1607,-2
4.423,2494,-4,1598,-11
4.519,2504,-5,1587,-11
4.615,2513,-1,1578,-9
4.711,2523,-2,1567,0
4.807,2534,-2,1557,-2
4.903,2544,-3,1548,-3
4.999,2553,-3,1538,-9
5.095,2563,-6,1528,-3
5.191,2573,-5,1518,0
5.287,2583,-3,1509,-1
5.383,2593,-3,1498,-9
5.479,2603,-4,1488,-1
5.575,2613,-3,1478,-2
5.687,2626,-2,1468,-6
5.783,2634,-5,1459,-1
5.879,2643,-1,1449,3
5.975,2652,-2,1439,0
6.071,2662,-5,1429,-8
6.167,2672,-3,1419,-3
6.263,2682,-4,1410,-1
6.359,2690,-2,1399,-9
6.455,2703,-4,1389,-7
6.551,2712,-3,1379,-10
6.647,2722,-3,1370,-9
6.743,2731,-1,1359,-9
6.839,2741,-3,1350,-1
6.935,2751,-5,1340,-5
7.031,2759,-1,1331,-5
7.127,2771,-6,1321,-2
7.223,2782,-4,1310,-10
7.319,2791,-4,1301,-1
7.415,2801,-3,1290,-6
7.511,2811,-6,1281,-2
7.607,2819,0,1270,-2
7.703,2832,-2,1261,-2
7.799,2841,-6,1251,-10
7.895,2850,-5,1242,-9
8.007,2863,-2,1231,-1
8.103,2870,-5,1221,-3
8.199,2879,-4,1211,-4
8.311,2893,0,1201,-1
8.407,2900,-3,1192,-9
8.503,2910,-6,1181,-12
8.599,2918,-4,1172,-3
8.695,2930,-3,1162,-7
8.794,2940,-5,1152,-15
8.903,2952,-3,1143,-9
8.999,2959,-4,1133,-4
9.095,2969,-3,1123,-16
9.191,2979,-3,1113,-13
9.287,2988,-4,1103,-9
9.383,2998,-3,1093,-5
9.479,3009,-3,1083,-4
9.575,3019,-4,1073,-11
9.671,3029,-3,1063,-7
