Time(s),Position1,Current1,Position2,Current2
0.087,2051,2,2041,5,0
0.183,2058,0,2033,0,0
0.279,2070,0,2024,0,0
0.375,2080,0,2013,-11,0
0.471,2090,0,2004,-6,0
0.567,2099,-2,1994,-7,0
0.663,2110,0,1984,-8,0
0.759,2120,1,1975,-5,0
0.855,2130,-2,1964,-8,0
0.951,2140,0,1955,-8,0
1.047,2149,0,1945,-13,0
1.143,2159,-3,1935,-9,0
1.239,2169,-4,1925,-10,0
1.335,2179,-4,1915,-9,0
1.431,2189,-4,1906,-12,0
1.527,2199,-4,1895,-4,0
1.623,2209,-1,1885,-5,0
1.719,2219,-4,1876,-15,0
1.815,2229,-5,1864,-5,0
1.911,2239,-6,1855,-7,0
2.007,2249,-2,1845,-5,0
2.103,2258,-4,1836,-12,0
2.199,2267,-5,1826,-6,0
2.295,2278,-4,1815,-2,0
2.391,2288,-3,1805,-5,0
2.487,2298,-3,1795,-4,0
2.583,2308,-5,1786,-1,0
2.679,2318,-4,1776,-1,0
2.775,2328,-4,1766,-10,0
2.871,2337,-7,1755,0,0
2.967,2348,-3,1746,-5,0
3.063,2357,-4,1736,-3,0
3.159,2367,-4,1726,-4,0
3.255,2377,-4,1717,-2,0
3.351,2387,-6,1706,-3,0
3.447,2397,-3,1696,-11,0
3.543,2407,-3,1687,-2,0
3.639,2417,-3,1676,-4,0
3.735,2427,-4,1666,-11,0
3.831,2436,-6,1656,-11,0
3.927,2447,-4,1647,0,0
4.023,2456,-3,1637,-2,0
4.119,2466,-5,1627,-3,0
4.215,2476,-4,1617,-9,0
4.311,2486,-5,1607,-2,0
4.407,2496,-3,1598,-2,0
4.503,2506,-3,1587,-12,0
4.599,2515,-8,1577,-1,0
4.695,2525,-4,1567,0,0
4.791,2536,-5,1557,-11,0
4.887,2546,-3,1548,-1,0
4.983,2556,-2,1538,-3,0
5.079,2565,-3,1528,-1,0
5.175,2575,-4,1518,-2,0
5.271,2585,-7,1509,-11,0
5.367,2595,-1,1498,-3,0
5.463,2605,-2,1488,-3,0
5.559,2615,-4,1478,-9,0
5.655,2626,-4,1468,-3,0
5.751,2635,-2,1459,-7,0
5.847,2645,-1,1449,0,0
5.943,2654,-6,1439,-1,0
6.039,2664,-3,1429,-2,0
6.135,2675,-3,1419,0,0
6.231,2684,-4,1409,-2,0
6.327,2694,-4,1399,-9,0
6.423,2704,-5,1389,-9,0
6.519,2714,-3,1380,-11,0
6.615,2724,-3,1370,-6,0
6.711,2734,-3,1359,-10,0
6.807,2744,-1,1350,-7,0
6.903,2754,-4,1340,-10,0
6.999,2763,-2,1331,-2,0
7.095,2773,-3,1320,-3,0
7.191,2783,-6,1310,0,0
7.287,2793,-4,1301,-1,0
7.383,2803,-3,1290,-4,0
7.479,2813,-4,1280,-8,0
7.575,2823,-3,1270,-3,0
7.671,2833,-4,1260,-1,0
7.767,2843,0,1251,-6,0
7.863,2853,-3,1242,-9,0
7.959,2862,-5,1231,-1,0
8.055,2872,-2,1221,-3,0
8.151,2883,-5,1212,-4,0
8.247,2892,-5,1201,-5,0
8.343,2902,-2,1192,-3,0
8.439,2912,-4,1181,-13,0
8.535,2922,-4,1171,-5,0
8.631,2932,-5,1162,-10,0
8.727,2942,-1,1152,-14,0
8.823,2952,-3,1143,-10,0
8.919,2961,-5,1133,-10,0
9.015,2971,-1,1123,-7,0
9.111,2982,-2,1113,-11,0
9.207,2991,-5,1103,-4,0
9.303,3001,-5,1093,-5,0
9.399,3011,-4,1083,-6,0
9.495,3021,-4,1073,-12,0
9.591,3031,-3,1063,-7,0
