Time(s),Position1,Current1,Position2,Current2
0.087,2050,2,2041,9
0.183,2057,0,2033,0
0.279,2068,0,2024,0
0.375,2078,0,2013,-2
0.471,2088,0,2004,-5
0.568,2098,1,1994,-11
0.679,2111,-1,1984,-8
0.775,2118,-1,1974,-7
0.871,2128,0,1964,-9
0.967,2138,0,1955,-9
1.063,2148,0,1945,-14
1.159,2157,-1,1935,-9
1.255,2167,0,1925,-11
1.351,2177,-1,1915,-15
1.447,2187,0,1905,-6
1.543,2197,-1,1895,-4
1.639,2208,0,1885,-10
1.735,2217,0,1875,-13
1.831,2227,0,1864,-12
1.927,2237,0,1854,-3
2.023,2247,0,1845,-13
2.119,2256,-1,1835,-11
2.215,2265,0,1826,-5
2.311,2276,0,1815,-3
2.407,2285,0,1805,-4
2.503,2295,0,1796,0
2.599,2306,-1,1786,-9
2.695,2316,0,1776,0
2.791,2326,-1,1766,-8
2.887,2336,-1,1755,0
2.983,2345,0,1746,-3
3.079,2355,0,1737,-10
3.175,2365,-1,1726,-3
3.271,2375,-1,1717,0
3.367,2385,-1,1707,-1
3.463,2395,-3,1696,-1
3.559,2406,-2,1687,-8
3.655,2415,-1,1676,0
3.751,2425,-2,1666,-3
3.847,2435,-1,1656,-3
3.943,2443,0,1647,0
4.039,2454,-3,1638,-1
4.135,2464,-2,1627,-1
4.231,2474,0,1617,-2
4.327,2484,-1,1607,-9
4.423,2494,-4,1598,-6
4.519,2504,-3,1587,-11
4.615,2513,-3,1578,-1
4.711,2524,-3,1567,-1
4.807,2534,-1,1557,-9
4.903,2543,-1,1548,0
4.999,2553,-4,1538,-9
5.096,2561,0,1528,-6
5.207,2577,-1,1518,-10
5.303,2583,-3,1509,-1
5.399,2593,-2,1499,-4
5.495,2604,-3,1489,-9
5.591,2613,-3,1478,0
5.687,2623,-4,1469,0
5.783,2632,-2,1459,0
5.879,2643,-6,1449,3
5.975,2652,-2,1439,-8
6.071,2662,-3,1430,-1
6.167,2672,-3,1419,-10
6.263,2682,-3,1410,-9
6.359,2690,-2,1399,-1
6.455,2702,-4,1389,-9
6.551,2711,-3,1379,-10
6.647,2722,-2,1370,0
6.743,2730,-1,1359,0
6.839,2741,-2,1350,-10
6.935,2750,-4,1340,-1
7.031,2759,0,1331,-6
7.127,2771,-4,1320,-2
7.223,2782,-2,1310,0
7.319,2791,-2,1301,0
7.415,2801,0,1290,-2
7.511,2811,-5,1281,-3
7.607,2819,0,1270,-7
7.703,2831,-2,1261,-10
7.799,2841,-5,1251,-1
7.895,2850,-4,1242,-1
7.991,2860,-2,1231,-10
8.087,2868,-3,1222,-3
8.183,2880,-4,1211,-11
8.279,2890,-2,1201,-9
8.375,2898,-3,1192,-2
8.471,2910,-5,1181,-4
8.567,2919,-3,1172,-3
8.663,2930,-3,1162,-1
8.759,2940,-6,1152,-7
8.855,2949,-3,1143,-10
8.951,2959,-2,1133,-11
9.047,2969,-4,1123,-13
9.143,2980,-3,1113,-12
9.239,2988,-3,1103,-4
9.335,2999,-3,1093,-5
9.431,3010,-2,1083,-12
9.527,3019,-2,1073,-12
9.623,3029,-2,1063,-8
