Time (s),Current (mA),Position
0.0160124,2,-1495
0.0740937,18,-1494
0.138076,14,-1482
0.20208,-22,-1435
0.2661,-18,-1374
0.33005,-7,-1375
0.393997,28,-1406
0.458005,16,-1428
0.521997,22,-1402
0.585995,-21,-1335
0.649981,-20,-1253
0.714063,-18,-1237
0.778357,32,-1267
0.84191,20,-1307
0.905898,20,-1292
0.96993,-14,-1233
1.03636,-21,-1153
1.09808,21,-1143
1.16196,18,-1163
1.22595,19,-1155
1.29001,-20,-1104
1.35395,-18,-1031
1.41802,-13,-1023
1.48198,18,-1045
1.54599,20,-1040
1.60999,-51,-992
1.67397,-19,-920
1.73797,23,-913
1.80198,17,-936
1.86598,19,-931
1.92998,-40,-883
1.99397,-19,-814
2.05799,21,-809
2.12192,19,-833
2.18589,20,-824
2.2499,-24,-772
2.31389,-18,-700
2.37784,-15,-693
2.4419,19,-716
2.50589,20,-712
2.5699,-45,-665
2.63389,-20,-593
2.69789,-10,-587
2.76186,19,-612
2.82586,19,-606
2.88984,-35,-558
2.95386,-18,-489
