Time (s),Current (mA),Position
0.0160937,6,-3105
0.0740605,19,-3105
0.138069,9,-3091
0.20202,-57,-3043
0.266007,-19,-2991
0.330068,4,-2993
0.394051,19,-3016
0.458046,19,-3012
0.522097,-52,-2965
0.586162,-19,-2901
0.650007,7,-2897
0.714004,20,-2917
0.778007,20,-2911
0.841984,-34,-2864
0.905966,-18,-2806
0.969971,24,-2804
1.03397,17,-2823
1.09796,20,-2801
1.16201,-33,-2740
1.22592,-21,-2669
1.28996,-21,-2660
1.35393,9,-2690
1.41794,21,-2722
1.48196,18,-2705
1.54598,-31,-2648
1.61001,-17,-2580
1.67399,29,-2572
1.73798,22,-2587
1.80198,20,-2564
1.86599,-21,-2503
1.92993,-20,-2432
1.99391,-15,-2424
2.0579,22,-2452
2.1219,15,-2473
2.18604,18,-2451
2.24994,-21,-2388
2.31401,-18,-2313
2.37798,-4,-2303
2.44187,9,-2326
2.50587,16,-2339
2.56987,18,-2312
2.63388,-20,-2248
2.69787,-19,-2173
2.7618,-17,-2162
2.82585,14,-2190
2.88992,21,-2220
2.95388,19,-2201
