Time (s),Current (mA),Position
0.0159701,7,-2622
0.074094,19,-2621
0.138034,19,-2613
0.201999,-42,-2570
0.266038,-19,-2515
0.330038,-6,-2515
0.393967,18,-2538
0.457999,20,-2535
0.521977,-47,-2489
0.586088,-19,-2433
0.649995,27,-2432
0.713954,18,-2451
0.777937,20,-2427
0.842008,-38,-2364
0.905962,-21,-2289
0.970045,-16,-2278
1.034,11,-2305
1.09797,19,-2338
1.16194,20,-2322
1.22589,-23,-2264
1.28995,-18,-2193
1.35392,-5,-2182
1.41792,17,-2200
1.48192,19,-2194
1.54588,-1,-2146
1.61108,-20,-2083
1.67395,30,-2079
1.73797,16,-2098
1.80193,18,-2074
1.86593,-11,-2012
1.92992,-18,-1936
1.99392,-17,-1929
2.05793,3,-1959
2.12197,20,-1995
2.18592,19,-1981
2.24993,-35,-1922
2.31393,-17,-1852
2.37782,20,-1843
2.44187,21,-1858
2.50591,19,-1838
2.56997,-52,-1778
2.63388,-18,-1703
2.69792,-16,-1696
2.76188,16,-1725
2.82591,20,-1756
2.88995,19,-1738
2.95391,-36,-1678
3.01788,-19,-1600
3.0819,-16,-1588
3.1459,21,-1616
3.20989,19,-1654
3.27383,16,-1639
3.33781,-36,-1582
3.40183,-20,-1510
3.46584,-21,-1504
3.52987,-11,-1536
3.59396,35,-1592
3.65786,18,-1639
3.72185,15,-1629
3.78587,-42,-1577
3.84987,-18,-1515
3.91383,-19,-1516
3.97783,-13,-1550
4.04176,19,-1597
4.10571,7,-1600
4.1698,-15,-1564
4.23377,-20,-1528
4.29784,-19,-1542
4.36183,24,-1587
4.42577,18,-1636
4.48984,13,-1627
4.55381,-20,-1575
4.61781,-20,-1514
4.68176,-19,-1513
4.7458,-17,-1548
4.8098,18,-1593
4.87379,5,-1597
4.93778,-35,-1560
5.00176,-19,-1524
5.06581,-18,-1536
5.12978,51,-1581
5.19367,19,-1630
5.25766,6,-1621
5.32169,-50,-1571
5.38569,-19,-1519
5.44971,-19,-1525
5.51371,40,-1562
5.57772,20,-1608
5.64172,-38,-1598
5.70571,-18,-1560
5.76972,-20,-1564
5.83372,43,-1603
5.89774,18,-1647
5.96169,18,-1637
6.02563,-37,-1581
6.08971,-18,-1506
6.15372,-17,-1498
6.21773,-18,-1527
6.28171,18,-1585
6.34578,18,-1646
6.40971,20,-1644
6.47371,-37,-1597
6.53766,-20,-1531
6.60161,-22,-1527
6.66564,39,-1560
6.72964,19,-1603
6.79364,12,-1599
6.85762,-20,-1564
6.92163,-20,-1563
6.98575,15,-1598
7.04962,17,-1639
7.1136,9,-1627
7.17759,-23,-1572
7.24162,-19,-1514
7.30555,-18,-1516
7.36956,-15,-1550
7.4336,18,-1596
7.49756,2,-1598
7.56155,-17,-1562
7.6256,-19,-1530
7.6896,-20,-1543
7.75351,33,-1588
7.81757,18,-1639
7.88156,15,-1630
7.94558,-44,-1577
8.0095,-17,-1508
8.07356,-20,-1504
8.13757,-11,-1536
8.20154,34,-1592
8.26556,20,-1639
8.32954,12,-1628
8.39355,-49,-1574
8.45766,-18,-1513
8.5216,-20,-1513
8.58562,35,-1547
8.64957,20,-1592
8.71356,11,-1595
8.7775,-20,-1569
8.84155,-20,-1566
8.90552,20,-1602
8.96949,19,-1644
9.03358,10,-1630
9.09763,-42,-1575
9.16154,-19,-1518
9.22555,-17,-1518
9.28946,-7,-1553
9.3535,18,-1599
9.4175,-12,-1598
9.48145,-19,-1566
9.54547,-20,-1563
9.60959,18,-1597
9.6735,17,-1637
9.73754,3,-1623
9.80155,-32,-1573
9.86552,-19,-1532
9.92953,-17,-1542
9.99345,8,-1586
10.0575,21,-1633
10.1215,10,-1624
10.1855,-34,-1573
10.2495,-19,-1515
10.3135,-19,-1518
10.3775,-6,-1553
10.4415,18,-1600
10.5056,8,-1599
10.5694,-19,-1570
