Time (s),Current (mA),Position
10.6334,-20,-1566
10.6974,34,-1599
10.7614,19,-1639
10.8254,6,-1626
10.8894,-55,-1575
10.9535,-19,-1525
11.0175,-18,-1531
11.0815,23,-1571
11.1455,18,-1618
11.2094,12,-1609
11.2734,-19,-1571
11.3374,-17,-1566
11.4014,17,-1598
11.4654,19,-1638
11.5294,2,-1624
11.5934,-34,-1573
11.6574,-21,-1528
11.7214,-19,-1537
11.7853,40,-1579
11.8493,19,-1625
11.9133,5,-1617
11.9773,-32,-1569
12.0413,-19,-1524
12.1054,-20,-1533
12.1694,19,-1575
12.2333,17,-1622
12.2974,10,-1612
12.3613,-18,-1575
12.4254,-21,-1572
12.4893,50,-1605
12.5534,19,-1645
12.6174,7,-1630
12.6813,-21,-1575
12.7454,-17,-1520
12.8094,-20,-1523
12.8733,28,-1559
12.9374,19,-1604
13.0013,-40,-1596
13.0653,-20,-1561
13.1293,-20,-1566
13.1933,42,-1605
13.2573,20,-1648
13.3213,18,-1637
13.3853,-45,-1582
13.4492,-19,-1510
13.5133,-20,-1504
13.5772,-10,-1536
13.6412,21,-1591
13.7052,19,-1636
13.7692,7,-1624
13.8332,-34,-1574
13.8972,-20,-1525
13.9612,-20,-1532
14.0252,34,-1571
14.0892,17,-1617
14.1532,6,-1607
14.2172,-20,-1570
14.2812,-20,-1565
14.3452,24,-1599
14.4092,18,-1640
14.4733,8,-1627
14.5373,-36,-1575
14.6012,-20,-1522
14.6652,-19,-1526
14.7292,23,-1563
14.7933,19,-1609
14.8571,-22,-1597
14.9212,-19,-1559
14.9852,-13,-1569
15.0491,16,-1608
15.1131,18,-1642
15.1773,8,-1625
15.2413,-18,-1582
15.3052,-18,-1578
15.3692,10,-1609
15.4332,20,-1649
15.4972,13,-1634
15.5612,-35,-1578
