Time (s),Current (mA),Position
3.6e-08,4,3508
0.042156,2,3510
0.0741211,2,3510
0.106128,3,3513
0.138088,4,3517
0.170097,2,3521
0.202092,2,3525
0.234023,1,3532
0.266059,4,3541
0.298073,4,3550
0.330055,5,3560
0.362071,3,3573
0.394063,1,3585
0.426068,5,3598
0.458127,3,3612
0.490081,4,3627
0.522114,1,3643
0.554079,3,3660
0.586087,1,3678
0.618076,2,3696
0.650091,2,3715
0.682074,3,3735
0.714068,3,3756
0.746083,2,3777
0.778077,3,3799
0.810077,1,3822
0.842078,2,3845
0.874088,3,3869
0.906068,4,3892
0.938121,2,3918
0.970101,1,3944
1.00209,2,3970
1.03407,2,3997
1.06606,3,4023
1.09807,3,4051
1.13012,1,4092
1.17808,3,4120
1.21006,1,4147
1.24206,2,4176
1.27404,3,4204
1.30604,4,4233
1.33805,2,4261
1.37004,3,4289
1.40201,2,4317
1.43404,3,4343
1.46604,3,4369
1.49808,3,4394
1.53004,2,4419
1.56198,3,4441
1.594,1,4458
1.62604,1,4472
1.65802,2,4480
1.69007,3,4485
1.72203,1,4485
1.75393,1,4485
1.78609,3,4485
1.83402,2,4486
1.86608,3,4486
1.91397,4,4485
1.94601,1,4485
1.97801,0,4486
2.01002,4,4485
2.042,3,4486
2.07402,3,4485
2.10604,3,4485
2.13797,1,4485
2.17001,3,4485
2.20201,2,4486
2.23459,4,4486
2.282,4,4486
2.314,2,4485
2.346,0,4485
2.37799,3,4485
2.40998,2,4486
2.44197,4,4485
2.47396,3,4485
2.50597,1,4485
2.53796,1,4485
2.57,3,4486
2.60199,1,4485
2.63398,1,4485
2.66597,3,4485
2.69796,4,4486
2.72996,4,4485
2.76196,4,4486
2.7939,1,4486
2.8259,3,4485
2.8579,1,4486
2.88991,3,4485
2.92189,2,4485
2.95388,2,4486
2.98588,4,4485
3.01791,3,4485
3.0499,1,4485
3.08194,2,4485
3.11396,3,4486
3.14596,2,4486
3.17794,2,4485
3.20996,3,4485
3.24193,3,4485
