Time (s),Current (mA),Position
0.0160378,2,965
0.0741264,17,965
0.138058,19,975
0.202023,-22,1022
0.266028,-19,1084
0.33003,-16,1087
0.394074,7,1055
0.458076,21,1027
0.522032,21,1046
0.585972,-47,1108
0.650021,-19,1182
0.714129,-2,1194
0.778096,15,1171
0.843044,16,1160
0.905982,21,1192
0.970091,-46,1259
1.03406,-18,1334
1.09804,-21,1344
1.16203,10,1316
1.22602,19,1284
1.28997,19,1299
1.35402,-53,1355
1.41802,-18,1423
1.48202,26,1432
1.54602,17,1418
1.61002,18,1443
1.67399,-25,1505
1.73802,-18,1576
1.80195,-10,1583
1.86598,13,1554
1.92998,19,1531
1.99397,21,1552
2.058,-24,1614
2.12199,-19,1685
2.18819,-4,1693
2.25001,20,1676
2.31401,20,1682
2.37794,-24,1729
2.44194,-18,1789
2.50598,21,1791
2.57066,16,1773
2.63394,18,1796
2.69793,-56,1859
2.76193,-19,1933
2.82597,-16,1944
2.8899,20,1917
2.95393,20,1885
